loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel,label
57:21.3,80,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.0906,-0.09677124,0.408676147,-0.908355713,1,0.53,5
57:21.3,81,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.1306,-0.127838135,0.472961426,-0.885910034,1,0.53,5
57:21.4,82,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.1706,-0.104431152,0.457366943,-0.894577026,1,0.53,5
57:21.4,83,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.2106,-0.097335815,0.441818237,-0.887817383,1,0.53,5
57:21.4,84,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.2505,-0.068603516,0.39730835,-0.904159546,1,0.53,5
57:21.5,85,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.2905,-0.073425293,0.453292847,-0.89112854,1,0.53,5
57:21.5,86,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.3305,-0.104171753,0.472106934,-0.885009766,1,0.53,5
57:21.6,87,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.3705,-0.109832764,0.460037231,-0.889419556,1,0.53,5
57:21.6,88,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.4105,-0.095779419,0.438568115,-0.8724823,1,0.53,5
57:21.6,89,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.4505,-0.10005188,0.503631592,-0.86656189,1,0.53,5
57:21.7,90,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.4904,-0.127258301,0.598007202,-0.848861694,1,0.53,5
57:21.7,91,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.5304,-0.131942749,0.412597656,-0.874801636,1,0.53,5
57:21.8,92,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.5704,-0.072387695,0.58644104,-0.82963562,1,0.53,5
57:21.8,93,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.6104,-0.116119385,0.520523071,-0.850280762,1,0.53,5
57:21.8,94,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.6504,-0.120986938,0.564941406,-0.823425293,1,0.53,5
57:21.9,95,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.6904,-0.116439819,0.564819336,-0.812164307,1,0.53,5
57:21.9,96,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.7304,-0.10874939,0.625640869,-0.767745972,1,0.53,5
57:22.0,97,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.7703,-0.130218506,0.660598755,-0.76789856,1,0.53,5
57:22.0,98,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.8103,-0.170257568,0.557800293,-0.792953491,1,0.53,5
57:22.0,99,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.8503,-0.172729492,0.619171143,-0.782928467,1,0.53,5
57:22.1,100,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.8903,-0.117767334,0.685638428,-0.756240845,1,0.53,5
57:22.1,101,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406396.9303,-0.093170166,0.652175903,-0.750335693,1,0.53,5
57:22.2,102,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406396.9703,-0.054412842,0.664627075,-0.773605347,1,0.53,5
57:22.2,103,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.0102,-0.050613403,0.590652466,-0.797241211,1,0.53,5
57:22.2,104,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.0502,-0.033081055,0.496551514,-0.840148926,1,0.53,5
57:22.3,105,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.0902,-0.080108643,0.629669189,-0.872268677,1,0.53,5
57:22.3,106,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.1302,-0.13092041,0.626449585,-0.79460144,1,0.53,5
57:22.4,107,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.1702,-0.13999939,0.592636108,-0.767227173,1,0.53,5
57:22.4,108,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.2102,-0.12008667,0.502365112,-0.770080566,1,0.53,5
57:22.4,109,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.2501,-0.036605835,0.735458374,-0.805633545,1,0.53,5
57:22.5,110,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.2901,-0.06930542,0.579544067,-0.811279297,1,0.53,5
57:22.5,111,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.3301,-0.078155518,0.492156982,-0.901412964,1,0.53,5
57:22.6,112,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.3701,-0.062484741,0.248748779,-0.953186035,1,0.53,5
57:22.6,113,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.4101,-0.075805664,0.287582397,-0.95892334,1,0.53,5
57:22.6,114,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.4501,-0.075912476,0.320541382,-0.947250366,1,0.53,5
57:22.7,115,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.49,-0.09286499,0.350616455,-0.915878296,1,0.53,5
57:22.7,116,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.53,-0.093582153,0.350021362,-0.935562134,1,0.53,5
57:22.8,117,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.57,-0.085083008,0.293441772,-0.943115234,1,0.53,5
57:22.8,118,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.61,-0.092071533,0.298461914,-0.960693359,1,0.53,5
57:22.8,119,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.65,-0.098739624,0.300598145,-0.929153442,1,0.53,5
57:22.9,120,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.69,-0.095581055,0.381912231,-0.942184448,1,0.53,5
57:22.9,121,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.7299,-0.083435059,0.347793579,-0.940505981,1,0.53,5
57:23.0,122,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.7699,-0.094390869,0.29914856,-0.944274902,1,0.53,5
57:23.0,123,1571680642,33.99871606,-81.03111147,91.36636,0,181.0735251,7.000949366,33.97733659,-9999,406397.8099,-0.103210449,0.31451416,-0.946182251,1,0.53,5
57:23.0,124,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406397.8499,-0.097595215,0.348205566,-0.946640015,1,0.53,5
57:23.1,125,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406397.8899,-0.102096558,0.334106445,-0.94291687,1,0.53,5
57:23.1,126,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406397.9299,-0.100830078,0.323791504,-0.932891846,1,0.53,5
57:23.2,127,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406397.9698,-0.097686768,0.341003418,-0.93309021,1,0.53,5
57:23.2,128,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.0098,-0.101303101,0.341506958,-0.935287476,1,0.53,5
57:23.2,129,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.0498,-0.099731445,0.324203491,-0.940261841,1,0.53,5
57:23.3,130,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.0898,-0.098144531,0.336166382,-0.937805176,1,0.53,5
57:23.3,131,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.1298,-0.099029541,0.310516357,-0.940032959,1,0.53,5
57:23.4,132,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.1698,-0.097106934,0.347671509,-0.932723999,1,0.53,5
57:23.4,133,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.2098,-0.100036621,0.335998535,-0.943191528,1,0.53,5
57:23.4,134,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.2497,-0.10534668,0.34487915,-0.932022095,1,0.53,5
57:23.5,135,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.2897,-0.097747803,0.326980591,-0.936981201,1,0.53,5
57:23.5,136,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.3297,-0.096389771,0.323318481,-0.935516357,1,0.53,5
57:23.6,137,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.3697,-0.093521118,0.354660034,-0.930862427,1,0.53,5
57:23.6,138,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.4097,-0.10043335,0.360366821,-0.929626465,1,0.53,5
57:23.6,139,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.4497,-0.097808838,0.356826782,-0.937530518,1,0.53,5
57:23.7,140,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.4896,-0.095230103,0.347671509,-0.935699463,1,0.53,5
57:23.7,141,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.5296,-0.096008301,0.325866699,-0.938293457,1,0.53,5
57:23.8,142,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.5696,-0.096725464,0.372192383,-0.925582886,1,0.53,5
57:23.8,143,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.6096,-0.100509644,0.343063354,-0.932403564,1,0.53,5
57:23.8,144,1571680643,33.99862469,-81.03114734,91.37427,0,181.0735251,6.812708683,28.05794935,-9999,406398.6496,-0.097732544,0.34916687,-0.931671143,1,0.53,5
